Model,Set,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression (Class Weighted),A (Class Weight),0.9771689497716894,0.7435897435897436,1.0,0.8529411764705882,0.9987564286316499
Random Forest (Class Weighted),A (Class Weight),0.9851598173515982,1.0,0.7758620689655172,0.8737864077669902,0.9986615799679622
XGBoost (Class Weighted),A (Class Weight),0.9908675799086758,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9994519854986933
LightGBM (Class Weighted),A (Class Weight),0.9920091324200914,0.9322033898305084,0.9482758620689655,0.9401709401709402,0.9994309080178737
Logistic Regression (SMOTE),B (SMOTE),0.9794520547945206,0.7631578947368421,1.0,0.8656716417910447,0.9990304358823033
Random Forest (SMOTE),B (SMOTE),0.9851598173515982,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.9979765618413288
XGBoost (SMOTE),B (SMOTE),0.9920091324200914,0.9047619047619048,0.9827586206896551,0.9421487603305785,0.9997681477109855
LightGBM (SMOTE),B (SMOTE),0.9920091324200914,0.9047619047619048,0.9827586206896551,0.9421487603305785,0.9994730629795127
